nama_wisata,alamat,kabupaten,provinsi,deskripsi_wisata,sumber_deskripsi
Bukit Bonto Payung,"7P67+XQR, Pujananting, Kec. Pujananting, Kabupaten Barru, Sulawesi Selatan 90762, Indonesia",Kabupaten Barru,Sulawesi Selatan,"Pantai Bira merupakan pantai yang terletak di Kecamatan Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan. Meski bukan terletak secara langsung di Barru, pantai ini cukup dekat dan mudah dijangkau. Pantai ini terkenal dengan pasir putihnya yang lembut dan air laut yang jernih. Kamu bisa melakukan berbagai aktivitas di pantai ini, seperti snorkeling, berenang, atau sekadar bersantai menikmati pemandangan.",https://fqsinternational.com/tempat-wisata-di-barru-menikmati-pesona-alam-yang-menawan/
Wisata Alam Chaputo,"MRMG+RG4, Pesse, Kec. Donri Donri, Kabupaten Soppeng, Sulawesi Selatan, Indonesia",Kabupaten Soppeng,Sulawesi Selatan,"Tempat wisata di Soppeng sangat beragam, mulai wisata alam seperti pegunungan, air terjun, hingga wisata sejarah. Tempat wisata di Kabupaten Soppeng bisa menjadi pilihan untuk berlibur.",https://www.detik.com/sulsel/wisata/d-6527369/15-tempat-wisata-di-soppeng-pesona-keindahan-alam-hingga-peninggalan-sejarah
Pantai Appatanah,"Pantai Appatanah, Appatanah, Bontosikuyu, Selayar Islands Regency, South Sulawesi, Indonesia",Kabupaten Kepulauan Selayar,Sulawesi Selatan,"Nampaknya julukan surga tersembunyi untuk Pantai Bahuluang ini tidak berlebihan ya. Keindahannya memang akan membuat kita terpana sehingga merasa seperti di surga. Pulau kecil ini bisa diakses dengan kapal laut dari Appatanah, Kepulauan Selayar karena letaknya yang berada di tengah-tengah.",https://bobobox.com/blog/id/pantai-bahuluang-kepulauan-selayar/
Pantai Seribu Kelapa,"Sarude, Kec. Sarjo, Kab. Pasangkayu, Sulawesi Barat 91591, Indonesia",Kabupaten Kepulauan Sangihe,Sulawesi Utara,"Perkebunan di Siau yang sangat subur diakibatkan debu vulkanik dari gunung karangetang dimanfaatkan untuk tanaman pala.Produksi pala sitaro pada tahun 2007 mencapai 1,66 juta ton yang dihasilkan dari lahan tanaman pala sekitar 3000 hektar.Sedangkan untuk tanaman kelapa yang ada di Siau kurang dimanfaatkan oleh karena harga jual pala lebih dari kelapa. Ekspor perikanan laut Sitaro mencapai 6000 ton/tahun, namun pemanfaatan sumber perikanan ini masih tergolong usaha kecil dan tradisional.",https://www.kompasiana.com/hansmahaganti/5517c27e813311aa689de4c9/wisata-sangihe-talaud-sulawesi-utara
Poentjak Unsongi Indah,"92H3+56, Unsongi, Kabupaten Morowali",Kabupaten Morowali,Sulawesi Tengah,"Morowali adalah kabupaten yang terletak di Sulawesi Tengah yang memiliki banyak potensi wisata. Morowali memiliki keindahan alam yang luar biasa, mulai dari laut, pantai, pegunungan, hingga air terjun. Bagi Anda yang mencari tempat wisata yang menyuguhkan keindahan alam yang memukau, Morowali bisa menjadi pilihan yang tepat. Berikut adalah beberapa tempat wisata di Morowali yang bisa Anda kunjungi.",https://www.trendwisata.com/tempat-wisata/tempat-wisata-di-morowali/
Wisata Cekdam Lagading,"538G+5MJ, Unnamed Road, Lagading, Kec. Pitu Riase, Kabupaten Sidenreng Rappang, Sulawesi Selatan 91691, Indonesia",Kabupaten Sidenreng Rappang,Sulawesi Selatan,"Terletak di Desa Bila Riase, Kecamatan Pitu Riase, Taman Wisata Puncak Bila menjadi primadona wisata alam di Sulawesi Selatan. Dengan luas sekitar 57 hektar, taman ini menawarkan berbagai wahana menarik, termasuk miniatur dunia seperti patung Merlion. Fasilitas yang tersedia meliputi kolam renang, area bermain anak, dan spot foto yang Instagramable. Jarak dari Makassar ke Puncak Bila sekitar 175 km, yang dapat ditempuh dalam waktu 3-4 jam melalui jalur darat.",https://id.wikipedia.org/wiki/Kabupaten_Sidenreng_Rappang
Air Terjun Batu Lukis,"3PJ4+47C, Ulu Mowewe, Mowewe, Kabupaten Kolaka Timur, Sulawesi Tenggara 93517, Indonesia",Kabupaten Kolaka Timur,Sulawesi Tenggara,"Konon kabarnya Situs Batu Tapak/Lukis Mowewe merupakan batu yang digunakan sebagai tempat pelaksanaan upacara pemujaan zaman dahulu, yang pada permukaan batu tersebut terdapat telapak kaki manusia, kerbau, rusa dan binatang lainnya. Panjang batu tersebut 4 meter dan tingginya 1 meter dan terletak di hulu sungai Mowewe, Desa Ulu Mowewe Kec. Mowewe Kab. Kolaka Timur yang berjarak kurang lebih 33 km dari Kabupaten Kolaka dan kurang lebih 72 km dari Kab. Konawe.",https://disparbudkoltim.wordpress.com/
Air Terjun Borisallo,"QMG8+32, Belapunranga, Kec. Parangloe, Kabupaten Gowa, Sulawesi Selatan 92173, Indonesia",Kabupaten Gowa,Sulawesi Selatan,"Borisallo adalah desa di kecamatan Parangloe , Kabupaten Gowa , Sulawesi Selatan , Indonesia . [ 1 ] Desa ini berjarak 5 Km ke arah timur dari ibu kota kecamatan Parangloe atau 33 Km dari Kabupaten Gowa .","https://id.wikipedia.org/wiki/Borisallo,_Parangloe,_Gowa"
Bulu tombolo,"Unnamed Road, 2P2Q+CVH, Labuaja, Kec. Cenrana, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,"Dalam bahasa setempat Rammang-Rammang berati sekumpulan kabut, karst terbesar ketiga di dunia ini menyimpan banyak spot wisata yang menarik di dalamnya dan menunggu untuk dijelajahi seperti Gua Telapak tangan, Gua bulu Karaka , Sungai Pute, Kampung Berua, Telaga Bidadari dan masih banyak lagi.",https://tempatwisataseru.com/tempat-wisata-di-maros/
"Lamperangan, Desa Kabba, Kec. Minasatene","4HQV+F9M, Kabba, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,"Kabba adalah sebuah desa di Kecamatan Minasatene , Kabupaten Pangkajene dan Kepulauan , Provinsi Sulawesi Selatan , Indonesia . [ 1 ]","https://id.wikipedia.org/wiki/Kabba,_Minasatene,_Pangkajene_dan_Kepulauan"
SUAR MENARA INDAH,"7F6P+38Q, Menara Indah, Kec. Bontomatene, Kab. Kepulauan Selayar, Sulawesi Selatan, Indonesia",Kabupaten Kepulauan Selayar,Sulawesi Selatan,"Menara Indah adalah sebuah desa yang berada di Kecamatan Bontomatene , Kabupaten Kepulauan Selayar , Provinsi Sulawesi Selatan , Indonesia .","https://id.wikipedia.org/wiki/Menara_Indah,_Bontomatene,_Kepulauan_Selayar"
Wisata Sawah Kurusumanga,"J88M+FW6, Kurusumanga, Kec. Belopa, Kabupaten Luwu, Sulawesi Selatan 91994, Indonesia",Kabupaten Luwu,Sulawesi Selatan,"Objek Wisata Sawah di Desa Kurusumanga, Kecamatan Belopa, Kabupaten Luwu dipadati pengunjung yang berkumpul bareng keluarga dan sanak saudara jelang weekend. Menurut pengunjung di sana, objek wisata Jembatan Sawah ini lagi trending di medsos, apalagi juga memiliki spot-spot foto yang instagramable. Salah satu pengunjung wisata sawah Nurul Miftahul Ilmi (21) mengatakan bahwa dia baru pertama kali berkunjung. Meski begitu, dia menilai tempatnya indah dan menarik. âBaru pertama kali ke sini. Awalnya saya penasaran dengan wisata jembatan sawah ini. Kan lagi trend di media sosial, jadi buat saya...",https://pasamai.digitaldesa.id/wisata/wisata-jelajah-sawah
DERMAGA APUNG TAHUNA,"JF5R+5G7, pelabuhan tua, Kec. Tahuna, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Sangihe,Sulawesi Utara,"Tahuna adalah sebuah kecamatan yang juga merupakan ibukota Kabupaten Kepulauan Sangihe , Sulawesi Utara , Indonesia . Kecamatan ini, bersama dua kecamatan lainnya, yakni Tahuna Timur dan Tahuna Barat , merupakan wilayah dataran teluk Tahuna. [ 1 ] Jumlah penduduk kecamatan ini berjumlah 16.139 ( 2020 ), dengan luas wilayah 25,76 km², dan kepadatan penduduk 626,51 jiwa/km². [ 1 ]","https://id.wikipedia.org/wiki/Tahuna,_Kepulauan_Sangihe"
Pantai Bone Moute,"9HRH+228, Pasir Putih, Kec. Banggai, Kab. Banggai Laut, Sulawesi Tengah, Indonesia",Kabupaten Banggai,Sulawesi Tengah,"Untuk wisata Pantai keceh lainnya yang ada di kecamatan Tinangkung, kalian jangan lupa datang ke Pantai Bone Bulusan atau yang juga dikenal dengan nama Pantai Pagati.",https://kataomed.com/blog/tempat-wisata-kabupaten-banggai-kepulauan
Wisata papalimbang Kendari,"2HCM+5Q7, Unnamed Road, Lapulu, Kota Kendari, Sulawesi Tenggara, Indonesia",Kota Kendari,Sulawesi Tenggara,"Wisata Papalimbang di Kendari, Sulawesi Tenggara, menawarkan pengalaman unik bagi para pencinta keindahan alam dan budaya. Meskipun namanya mungkin belum begitu terkenal, destinasi ini menyimpan pesona yang patut dijelajahi. Lokasinya yang berada di [masukkan detail lokasi yang lebih spesifik jika tersedia, misalnya: dekat pantai, di tengah hutan, dll] menambah daya tarik tersendiri.",https://liburanmurah.com/jelajahi-wisata-papalimbang-pesona-tersembunyi-di-kendari/
Pantai Pising,"Pantai Pising, Mapila, Kabaena Utara, Kabupaten Bombana, Sulawesi Tenggara 93781, Indonesia",Kabupaten Bombana,Sulawesi Tenggara,"Rumbia, HarapanSultra.COM | Kabar gembira untuk masyarakat Kabaena Bombana, setelah sekian lama ditunggu tunggu akhirnya Kapal Cepat Superjet 10 memastikan membuka rute Pelabuhan Pising Kabaena dan Pelabuhan Kasipute Rumbia Ibukota Kabupaten Bombana.",https://www.harapansultra.com/kabar-gembira-kapal-cepat-superjet-10-buka-rute-pising-kabaena-kasipute/
Goa maobu,"M9PW+HFH, Lalibo, Kec. Mawasangka Tengah, Kabupaten Buton, Sulawesi Tenggara, Indonesia",Kabupaten Buton,Sulawesi Tenggara,Saatnya untuk mengeksplor goa Maobu host mtma berenang di dalam goa dan mencoba melompat dari atas goa menuju air yang didalam goa.Terlihat jernihnya air begitu indahnya dan cahaya yang masuk ke air membuat bagitu indah pemandangan air goa Maobu,https://20.detik.com/spot-wisata/20241030-241106014/menikmati-keindahan-goa-maobu-di-buton-tengah
Telaga Sendow,"Telaga Sendow, Kopiwangker, Kec. Langowan Bar., Kabupaten Minahasa, Sulawesi Utara, Indonesia",Kabupaten Minahasa,Sulawesi Utara,"Kali ini saya ingin manarasikan kembali sebuah cerita rakyat Minahasa, yang saya yakin belum banyak di antara kita yang pernah membacanya, atau nonton filmnya. Tuturan cerita ini tentu saja saya buat sesuai versi saya, dan gaya saya sendiri. Kisah ini adalah tentang Mamanua , Lumalundung, dan WalanSendow .",https://www.kompasiana.com/michusa/560bb5c19397732a08950122/bidadari-dan-telaga-tumatenden
Air Terjun Desa Sauk,"RX84+G3F, Sauk, Kec. Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow,Sulawesi Utara,2. Kecamatan Lolak. Air terjun Sauk (Desa Sauk).Tags: Explore Indah Jalan-Jalan Jelajah Tempat Travel Traveling wisata Wisatawan.,https://aopok.com/43272/air-terjun-di-kabupaten-bolaang-mongondow
Uwe Molino,"2QRJ+V5P, Tontouan",Kabupaten Banggai,Sulawesi Tengah,"Namanya memang belum sepopuler kota-kota lain yang ada di Sulawesi Tengah, namun Kota Luwuk memiliki banyak destinasi wisata alam yang memukau, salah satunya Air Terjun Uwe Molino. Pemandangan air terjun ini sangat indah seperti lukisan alam.",https://www.idntimes.com/travel/destination/potret-air-terjun-uwe-molino-di-luwuk-c1c2-01-5ltmv-z8976t
Binotik,"68PF+QWH, Lipulalongo, Labobo, Kab. Banggai Laut, Sulawesi Tengah, Indonesia",Kabupaten Banggai,Sulawesi Tengah,"Wisata di Labobo Banggai Laut lainnya yakni Wisata Literasi Bone Binotik yang berada di wilayah desa Lipulalongo, kecamatan Labobo, Kabupaten Banggai Laut, Sulawesi Tengah.",https://kataomed.com/blog/tempat-wisata-kabupaten-banggai-laut
Labotan Bone,"R256+GMH, Ombuli, Kec. Bulagi Utara, Kabupaten Banggai Kepulauan, Sulawesi Tengah, Indonesia",Kabupaten Banggai Kepulauan,Sulawesi Tengah,"Kode Pos Labotan terlengkap dan terakurat. Informasi lengkap tentang Labotan, kelurahan/desa di Kecamatan Lamala, KAB. Banggai, sulawesi tengah.",https://carikodepos.id/desa/labotan
Pantai Majapahit,"8JM9+VJW, Jl. Poros Batauga, Katilombu, Kec. Sampolawa, Kabupaten Buton, Sulawesi Tenggara 93752, Indonesia",Kabupaten Buton,Sulawesi Tenggara,-,-
Wisata KAREDE (Permandian Air Hangat),"5XPJ+4GC, Jl. Ronta-Buranga, Een Sumala, Kec. Bonegunu, Kabupaten Buton Utara, Sulawesi Tenggara 93673, Indonesia",Kabupaten Buton Utara,Sulawesi Tenggara,Jelajahsultra.com - Kabupten Buton Utara (Butur) mempunyai wisata tirta yang tidak kalah dengan kabupaten lainnya di Sulawesi Tenggara (Sultra).,https://www.jelajahsultra.com/2021/07/7-destinasi-wisata-pilihan-di-buton.html
Bahari Nusantara Mosso Mario,"HVP9+94G, Mosso Dhua, Kec. Sendana, Kabupaten Majene, Sulawesi Barat 91452, Indonesia",Kabupaten Majene,Sulawesi Barat,"Keunikan Kabupaten Majene Provinsi Sulawesi Barat tidak Cuma ada pada wisata alam/ bahari dan budaya tetapi juga memiliki kreativitas mengolah makanan tradisional diantaranya “Jepa” dengan lauk “Bau Tapa' Tuing-Tuing” (Bahasa Indonesia Ikan Terbang), jajanan kuliner makanan tradisional Mandar ini terletak di Desa Onang Kecamatan Tubo ...",https://cdnc.heyzine.com/flip-book/pdf/e58f3866a4f8a821acedff96f0cddde8eeca5a59.pdf
Pantai Indah Pannara,"7QXC+82X, Empoang Sel., Kabupaten Jeneponto",Kabupaten Jeneponto,Sulawesi Selatan,"Dari pusat kota hingga pinggiran, setiap sudut di Makassar menawarkan pengalaman yang tak terlupakan bagi siapa saja yang ingin mengeksplorasi keindahan dan keragaman budaya kota ini.",https://www.bluebirdgroup.com/blog/8-destinasi-wisata-malam-di-makassar-buat-nongkrong-bareng-teman-keluarga?lang=en
Tanjung Baloiya,"QCRW+R4W, Bontotangnga, Kab. Kepulauan Selayar",Kabupaten Kepulauan Selayar,Sulawesi Selatan,"Pantai Baloiya merupakan salah satu pantai tujuan wisata menarik, yang sudah terkenal di mana mana. Pantai ini ada di Pulau Selayar , Sulawesi Selatan .",https://sulsel.idntimes.com/travel/destination/pantai-baloiya-destinasi-wisata-menarik-di-pulau-selayar-00-lm183-434qxh
Air Terjun Lagandang,"Unnamed Road, GQ2G+27X, Bamba Puang, Kec. Anggeraja, Kabupaten Enrekang, Sulawesi Selatan 91752, Indonesia",Kabupaten Enrekang,Sulawesi Selatan,"Salah satu destinasi yang belakangan menjadi perhatian wisatawan adalah Air Terjun Lagandang , sebuah air terjun dengan karakter warna air yang unik dan lingkungan alam yang masih terjaga.",https://medialampung.disway.id/wisata/read/700006/warna-unik-air-terjun-lagandang-enrekang-menarik-perhatian-wisatawan
Pantai Wisata Kendahe,"Pantai Wisata Kendahe, Kendahe I, Kendahe, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Sangihe,Sulawesi Utara,Kompas.com/Ronny Adolof Buol Kabupaten Kepulauan Sangihe juga dikelilingi pulau-pulau kecil yang menambah eksotisnya wilayah ini sebagai destinasi wisata.,https://travel.kompas.com/read/2021/05/04/163226127/14-wisata-bawah-laut-di-kepulauan-sangihe-ini-bikin-pangling-wisatawan?page=all
Pulau Terluar Indonesia,"HH5M+VJ, Miangas, Kabupaten Kepulauan Talaud, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Talaud,Sulawesi Utara,Objek Wisata Talaud – Kepulauan Talaud merupakan Kabupaten yang berada di Sulawesi Utara dan juga merupakan titik terluar Indonesia di bagian Utara. Berbatasan dengan wilayah laut Filipina dan memiliki kawasan Bahari yang luas membuat objek wisata Talaud menarik untuk di jelajahi.,https://www.tokopedia.com/blog/travel-tempat-wisata-talaud-terindah/
Bukit Tinabitte,"FVRC+MFW, Tinabite, Kec. Lantari Jaya, Kabupaten Bombana, Sulawesi Tenggara, Indonesia",Kabupaten Bombana,Sulawesi Tenggara,-,-
Tepi Laut Mamuju,"8VCJ+V52, Rimuku, Kabupaten Mamuju, Sulawesi Barat, Indonesia",Kabupaten Mamuju,Sulawesi Barat,"Secara administratif terletak di Provinsi Sulawesi Barat , Kabupaten Mamuju terkenal dengan wisata pantai yang memiliki pemandangan sangat memukau. Suasana tenang dan sejuknya juga cocok dijadikan sebagai tempat pelarian sejenak termasuk healing . Melakukan kegiatan tersebut disarankan agar pikiran yang suntuk bisa kembali fresh .",https://www.idntimes.com/travel/destination/pantai-mamuju-cocok-untuk-healing-c1c2-01-5ltmv-7l4qn8
Air Terjun MATARUTUNG,"Jalan Trans Sulawesi, Trans bunta, Kec. Petasia, Kabupaten Morowali Utara, Sulawesi Tengah 94971, Indonesia",Kabupaten Morowali Utara,Sulawesi Tengah,"DescriptionAir Terjun Matarutung 01.jpg. Bahasa Indonesia: Air terjun Matarutung di Kolonodale, Morowali Utara. Date. 22 April 2023, 13:56:56.",https://commons.wikimedia.org/wiki/File:Air_Terjun_Matarutung_01.jpg
KOLAM RENANG TIRTABARAS,"HC6G+F79, Jln. Nusalontar, Lelejae",Kabupaten Majene,Sulawesi Barat,"Kolam Renang Tirta adalah sebuah kolam renang atau lokasi berenang yang berlokasi di Totoli, Banggae, Kabupaten Majene, Sulawesi Barat.",https://renangloka.com/pool/kolam-renang-tirta-4/
pantai pasir putih rangas,"CWJP+X35, Rangas Bar., Totoli, Kabupaten Majene",Kabupaten Majene,Sulawesi Barat,"Pantai Batu Raja Majene adalah salah satu pantai yang paling populer di Majene . Destinasi Pantai ini memiliki pemkamungan yang menakjubkan, dengan hamparan pasir putih, laut biru, dan batuan karang yang menjulang tinggi. Pantai ini juga menjadi tempat favorit untuk berfoto, karena memiliki spot-spot yang instagramable.",https://sekedartips.com/tempat-wisata-majene/
Destinasi digital Kampung Natal,"39HP+9QC, Tondok Bakaru, Kec. Mamasa, Kabupaten Mamasa, Sulawesi Barat 91362, Indonesia",Kabupaten Mamasa,Sulawesi Barat,"Wisata Digital Kampung Natal merupakan sebuah objek wisata baru di Kabupaten Mamasa yang dikembangkan oleh sejumlah pemuda desa di Desa Tondok Bakaru, Kecamatan Mamasa.Â Wisata ini dibangun di area hutan pinus tiga tingkat seluas kurang lebih satu hektar. Area hutan pinus tersebut didesain sedemikian rupa sehingga pengunjung bisa menikmati suasana natal disana.",https://uhaidaho.digitaldesa.id/wisata/wisata-digital-kampung-natal
WISATA BUNGA BUKIT CINTA,"JGJM+3X3, Tenilo, Kec. Paguyaman, Kabupaten Boalemo, Gorontalo 96261, Indonesia",Kabupaten Boalemo,Gorontalo,"Bukit Alesano terletak di Desa Cipelang Kecamatan Cijeruk Kabupaten Bogor, Jawa Barat, salah satu wisata bukit populer di Bogor.",https://travel.kompas.com/read/2024/01/20/183200527/4-wisata-bukit-di-bogor-tempat-healing-dengan-panorama-indah
Monumen Tantangan Ewako,"Jl. Poros Tonasa No.2, Padoang Doangan, Kec. Pangkajene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,"Bagi kalian yang suka tantangan wajib untuk datang ke Taman Batu Karst ini, karena akses menuju ke lokasi dibutuhkan perjuangan yang keras dan melelahkan. Tempat wisata ini cocok bagi kalian pencinta tantangan dan juga penyuka spot-spot menarik di sebuah tempat wisata.",https://seringjalan.com/5-tempat-wisata-di-pangkajene-sulawesi-selatan/
Wisata pantai Losa,"Lebani, Kabupaten Mamuju",Kabupaten Mamuju,Sulawesi Barat,Pantai Tanjung Losa salah satu wisata pantai yang populer di Mamuju.Pantai ini bernama Tanjung Losa. Masuk dalam administrasi wilayah Kabupaten Mamuju.,https://www.top-rated.online/cities/Labuang+Rano/place/p/16927281/Wisata+pantai+Losa
Wisata Pasir Putih Makkerre,"GCFM+W5R, Jl. Poros Pinrang - Polman, Mirring, Kabupaten Polewali Mandar",Kabupaten Polewali Mandar,Sulawesi Barat,"Berwisata di Polewali Mandar, ada objek wisata pantai yang sayang untuk dilewatkan saat berkunjung ke sini. Namanya objek wisata Pantai Palippis, terletak di Desa Bala, Kecamatan Balanipa, Kabupaten Polewali Mandar.",https://travel.detik.com/domestic-destination/d-4394985/satu-lagi-surga-di-sulawesi-pantai-pasir-putih-palippis
Wisata Bahari Politani,"Wisata Bahari Politani, Mandalle, Pangkajene and Islands Regency, South Sulawesi 90655, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,"Secara garis besar wilayah daratan Kabupaten Pangkajene, dan Kepulauan ditandai dengan bentang alam wilayah dari daerah dataran rendah sampai pegunungan, di mana potensi cukup besar juga terdapat pada wilayah daratan Kabupaten Pangkajene, dan Kepulauan yaitu ditandai dengan terdapatnya sumber daya alam berupa hasil tambang, seperti batu bara, marmer, dan semen. Disamping itu potensi pariwisata alam yang mampu menembah pendapatan daerah.",https://id.wikipedia.org/wiki/Kabupaten_Pangkajene_dan_Kepulauan
Pantai Pondok Cinta,"V2P4+W27, Jalan, Motabang, Kec. Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow,Sulawesi Utara,"Dengan semangat kesukaan terhadap hobi memancing , BFC memberikan wadah bagi para pecinta mancing di Bolsel untuk berkumpul, berbagi pengalaman, dan tentunya menikmati keindahan alam sambil mendapatkan hasil pancingan yang memuaskan. Kunjungi BFC untuk pengalaman memancing yang berkesan!",https://pdberger.com/pemancingan-bolaang-mongondow-selatan
Goa Latea,"6MV4+QR2, Tentena, Pamona Pusalemba, Kabupaten Poso, Sulawesi Tengah 94663, Indonesia",Kabupaten Poso,Sulawesi Tengah,"Gua Latea ( bahasa Inggris : Latea Cave code: en is deprecated ), terletak di perbukitan Parere , di kelurahan Tentena , Pamona Puselemba , Kabupaten Poso , Sulawesi Tengah . Gua Latea merupakan gua alam berupa gua kapur yang usia genesisnya diperkirakan tidak kurang dari 30 juta tahun yang lalu. Gua Latea terletak ±800 meter dari jalan raya utama kota Tentena . [ 1 ]",https://id.wikipedia.org/wiki/Gua_Latea
Agrowisata Mekar Jaya Farm,"G5X7+F38, Unnamed Road, Duano, Kecamatan Suwawa Tengah, Kabupaten Bone Bolango, Gorontalo 96121, Indonesia",Kabupaten Bone Bolango,Gorontalo,Merupakan salah satu Agrowisata di Kota Gorontalo. Agrowisata ini menyediakan wisata alam / kebun yang cocok untuk liburan bersama keluarga.,https://idalamat.com/alamat/693133/agrowisata-mekar-jaya-farm-gorontalo-gorontalo
Gunu Lambelu,"Gunu Lambelu, Konde, Kec. Kambowa, Kabupaten Buton Utara, Sulawesi Tenggara, Indonesia",Kabupaten Buton Utara,Sulawesi Tenggara,"Jan 9, 2017 · Air laut kebiruan yang tenang dan sesekali dibelai nelayan yang keluar dari desa untuk melaut menambah elok Teluk Lambelu. Samini (42), pemilik warung kopi di tepi jalan lintas Buton Utara, Muna, Buton dan Kota Bau Bau, mengatakan Teluk Lambelu butuh sentuhan orang-orang yang kreatif mengelola wisata.",https://kalsel.antaranews.com/berita/42556/teluk-lambelu-objek-wisata-potensial-buton
Buttu Dakka,"Buttu Dakka, Dakka, Kec. Tapango, Kabupaten Polewali Mandar, Sulawesi Barat, Indonesia",Kabupaten Polewali Mandar,Sulawesi Barat,"Cuplikan WISATA DI POLEWALI MANDAR - YouTube. HOTEL - Dinas Kebudayaan dan Pariwisata Kab.Dakka, Tapango, Polewali Mandar Regency, West Sulawesi, Indonesia ... Polewari Mandar - one of regencies in West Sulawesi.",https://dishcuss.com/post/52A0783BE4F50C0EFB94EBF9E11FAD8BF0F37468/Logo-Polman-Jpg
Buntu Tabuan,"Buntu Tabuan, Rinding Allo, Kec. Limbong, Kabupaten Luwu Utara, Sulawesi Selatan, Indonesia",Kabupaten Luwu Utara,Sulawesi Selatan,"Disebut Buntu Tabuan karena dalam bahasa setempat, buntu adalah gunung atau bukit. Gunung ini berada di atas ketinggian 1700 Mdpl. Saat berada di atas ketinggian detikers akan disuguhkan pemandangan hamparan pegunungan yang tampak hijau nan cantik.",https://www.detik.com/sulsel/wisata/d-6908956/19-rekomendasi-tempat-wisata-di-luwu-utara-yang-menarik-dikunjungi
Pantai Melasti Rayon Tambu,"Pantai Melasti Rayon Tambu, jl. pantai, tambu, Kec. Sausu, Kabupaten Parigi Moutong, Sulawesi Tengah 94473, Indonesia",Kabupaten Parigi Moutong,Sulawesi Tengah,Pantai Melasti berada di selatan pulau Bali yang terkenal sejak 2020. Destinasi wisata di wilayah bukit kapur ini menjadi alternatif selain Sanur dan Kuta.,https://www.detik.com/bali/wisata/d-7226234/pantai-melasti-tiket-jam-buka-lokasi-dan-pesona-pantai-pasir-putih
Wisata Pemandian Air Panas Lombongo,"Jl. Taman Wisata, Lombongo, Kecamatan Suwawa Tengah, Kabupaten Bone Bolango, Gorontalo 96583, Indonesia",Kabupaten Bone Bolango,Gorontalo,"Sebagai daerah vulkanis, Gorontalo juga memiliki beberapa sumber air panas alami. Salah satu yang terkenal adalah Mata Air Panas Lombongo.",https://gorontalotravelwisata.wordpress.com/pemandian-air-panas-lombongo/
KOTAMOBAGU,"Jl. Gatot Subroto, mongkonai induk, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara, Indonesia",Kota Kotamobagu,Sulawesi Utara,"Kota Kotamobagu adalah kota di Provinsi Sulawesi Utara , Indonesia . Kota ini dibentuk berdasarkan Undang-Undang Nomor 4 Tahun 2007 pada tanggal 2 Januari 2007 . Kota kotamobagu sebelumnya berstatus sebagai ibukota Kabupaten Bolaang Mongondow yang kemudian dipindahkan ke Lolak . Jumlah penduduk Kotamobagu pada akhir tahun 2024 sebanyak 121.526 jiwa. [ 2 ] [ 3 ] Mayoritas suku yang ada di kota ini adalah suku Mongondow .",https://id.wikipedia.org/wiki/Kota_Kotamobagu
Permandian Sulembe,"M2MJ+CMM, Unnamed Road, Watu Mutaha, Kec. Ngapa, Kabupaten Kolaka Utara, Sulawesi Tenggara 93958, Indonesia",Kabupaten Kolaka Utara,Sulawesi Tenggara,"Permandian Air Panas Taosu bukanlah sekadar kolam renang buatan dengan pemanas suhu. Ini adalah fenomena geologi alami di mana air panas muncul langsung dari perut bumi melalui celah-celah bebatuan di kaki perbukitan Mowewe. Secara visual, destinasi ini menyuguhkan pemandangan yang dramatis: uap air tipis yang membubung di sela-sela rimbunnya pepohonan hutan hujan tropis.",https://www.geokepo.id/id/lokasi/kolaka-timur/permandian-air-panas-taosu
Wisata Pantai Konawe Timur Tanjung Lalimbue,"4GJ5+967, Lalimbue, Kabupaten Konawe",Kabupaten Konawe,Sulawesi Tenggara,"SUARASULTRA.COM | KONAWE – Pantai Tanjung Lalimbue di Desa Lalimbue, Kecamatan Kapoiala, Kabupaten Konawe, tampak lebih hijau sejak awal Oktober. Mahasiswa Fakultas Pertanian Universitas Lakidende (Unilaki) Konawe menggelar aksi tanam pohon sebagai bentuk bakti sosial dan kepedulian terhadap lingkungan pesisir.",https://suarasultra.com/2025/10/mahasiswa-unilaki-hijaukan-pantai-tanjung-lalimbue-dukung-wisata-konawe-bersahaja/
Air Terjun Bantimurungnge,"3RM9+8X5, Pattiro Deceng, Kec. Camba, Kabupaten Maros, Sulawesi Selatan 90562, Indonesia",Kabupaten Maros,Sulawesi Selatan,-,-
